Date,Open,High,Low,Close,AdjClose,Volume,Name,Brand
13-09-2017,391,393.9500122,387.2000122,389.6499939,389.6499939,6537279,TATAMOTORS.NS,Tata
14-09-2017,390.75,406.6000061,390.25,404.3999939,404.3999939,11476571,TATAMOTORS.NS,Tata
15-09-2017,402.8500061,406.75,400,401.75,401.75,9675506,TATAMOTORS.NS,Tata
18-09-2017,411.8500061,413,403.2000122,404.9500122,404.9500122,8966503,TATAMOTORS.NS,Tata
19-09-2017,415,427.7000122,414,423.6499939,423.6499939,28208471,TATAMOTORS.NS,Tata
20-09-2017,422.75,422.75,413,414.7999878,414.7999878,5179160,TATAMOTORS.NS,Tata
21-09-2017,415.3999939,418.4500122,408.7999878,413.6499939,413.6499939,6946502,TATAMOTORS.NS,Tata
22-09-2017,414,422.1499939,408.8500061,411.7999878,411.7999878,9781308,TATAMOTORS.NS,Tata
25-09-2017,413.6499939,415.2999878,404.6000061,408.2000122,408.2000122,6957357,TATAMOTORS.NS,Tata
26-09-2017,409.3999939,413.8999939,403.2999878,411.25,411.25,5077291,TATAMOTORS.NS,Tata
27-09-2017,413.5,414.25,402,404.8999939,404.8999939,4727360,TATAMOTORS.NS,Tata
28-09-2017,406.9500122,406.9500122,399,401.3999939,401.3999939,4850748,TATAMOTORS.NS,Tata
29-09-2017,401.3999939,405,397.3999939,401.5,401.5,7520906,TATAMOTORS.NS,Tata
03-10-2017,428,428,415,416,416,9696920,TATAMOTORS.NS,Tata
04-10-2017,417.5499878,426,412.7000122,423.5499878,423.5499878,7663143,TATAMOTORS.NS,Tata
05-10-2017,423,425.7999878,420.1000061,423.2999878,423.2999878,4606192,TATAMOTORS.NS,Tata
06-10-2017,422,426,416.2000122,424.8500061,424.8500061,5308695,TATAMOTORS.NS,Tata
09-10-2017,424,432.1000061,423.0499878,425.6000061,425.6000061,4414381,TATAMOTORS.NS,Tata
10-10-2017,425.6000061,428.8999939,421.3999939,423.6000061,423.6000061,5057869,TATAMOTORS.NS,Tata
11-10-2017,424.8999939,424.8999939,414.1000061,415.5,415.5,4320451,TATAMOTORS.NS,Tata
12-10-2017,415.5,421.7999878,409.3500061,420.1499939,420.1499939,5442846,TATAMOTORS.NS,Tata
13-10-2017,421,429.2999878,418.8999939,424.7999878,424.7999878,6969434,TATAMOTORS.NS,Tata
16-10-2017,426.2999878,438,425.8500061,437.0499878,437.0499878,8476709,TATAMOTORS.NS,Tata
17-10-2017,435.75,435.75,430.2000122,432.2999878,432.2999878,5135763,TATAMOTORS.NS,Tata
18-10-2017,432.25,437.2999878,426.6000061,433.2000122,433.2000122,5539785,TATAMOTORS.NS,Tata
19-10-2017,433,433.1000061,424.25,426.9500122,426.9500122,1313380,TATAMOTORS.NS,Tata
23-10-2017,429.1000061,430.8500061,421,422.75,422.75,4013418,TATAMOTORS.NS,Tata
24-10-2017,422.75,423.7999878,415.0499878,416.0499878,416.0499878,4541742,TATAMOTORS.NS,Tata
25-10-2017,421,424.3999939,415.1000061,421.9500122,421.9500122,5666968,TATAMOTORS.NS,Tata
26-10-2017,421.7000122,422.3999939,417,419.3999939,419.3999939,6207936,TATAMOTORS.NS,Tata
27-10-2017,422.0499878,434.3500061,422.0499878,429.8999939,429.8999939,7414741,TATAMOTORS.NS,Tata
30-10-2017,428.25,440.9500122,428.25,436.5499878,436.5499878,7675104,TATAMOTORS.NS,Tata
31-10-2017,438.8500061,438.8500061,427.2999878,428.3999939,428.3999939,6214996,TATAMOTORS.NS,Tata
01-11-2017,430.9500122,439.9500122,428.4500122,437.75,437.75,7310931,TATAMOTORS.NS,Tata
